Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
0678,05/18/2025,05/19/2025,Spectrum,Bills & Utilities,Sale,-70.00,
0678,05/17/2025,05/18/2025,Payment Thank You-Mobile,,Payment,1000.00,
0678,05/16/2025,05/18/2025,NAME-CHEAP.COM* MJZD64,Professional Services,Sale,-11.46,
0678,05/17/2025,05/18/2025,NAME-CHEAP.COM* HGI3QS,Professional Services,Sale,-11.46,
0678,05/15/2025,05/16/2025,LOCALRANK.SO,Office & Shipping,Sale,-34.30,
0678,05/14/2025,05/15/2025,ONLINEJOBSPH,Professional Services,Sale,-69.00,
0678,05/15/2025,05/15/2025,FACEBK *RU96HPCXC2,Professional Services,Sale,-39.00,
0678,05/14/2025,05/15/2025,NAME-CHEAP.COM* VXTBLJ,Professional Services,Sale,-17.16,
0678,05/07/2025,05/08/2025,FACEBK *8JJCNNQXC2,Professional Services,Sale,-26.10,
0678,05/07/2025,05/08/2025,FACEBK *2CKVNNQXC2,Professional Services,Sale,-5.05,
0678,05/06/2025,05/07/2025,OPENAI *CHATGPT SUBSCR,Office & Shipping,Sale,-20.00,
0678,05/05/2025,05/06/2025,CANVA* I04507-73444417,Professional Services,Sale,-15.00,
0678,05/06/2025,05/06/2025,DESCRIPT,Office & Shipping,Sale,-25.58,
0678,05/01/2025,05/02/2025,GOOGLE *GSUITE_kuriosb,Office & Shipping,Sale,-21.60,
0678,05/01/2025,05/02/2025,10WEB.IO,Professional Services,Sale,-136.00,
0678,04/30/2025,05/01/2025,AARON ABKE,Merchandise & Inventory,Sale,-99.00,
0678,05/01/2025,05/01/2025,FACEBK *QTZDZNGXC2,Professional Services,Sale,-35.00,
0678,04/30/2025,05/01/2025,LOCALRANK.SO,Office & Shipping,Sale,-249.00,
0678,04/30/2025,04/30/2025,Payment Thank You-Mobile,,Payment,400.00,
0678,04/17/2025,04/27/2025,ABLETON,Merchandise & Inventory,Sale,-40.08,
0678,04/25/2025,04/27/2025,ELEVENLABS.IO,Office & Shipping,Sale,-11.73,
0678,04/25/2025,04/27/2025,NAME-CHEAP.COM* 8XECNP,Professional Services,Sale,-11.46,
0678,04/24/2025,04/24/2025,FACEBK *28B7UQUXC2,Professional Services,Sale,-31.00,
0678,04/23/2025,04/24/2025,SPOTIFY,Bills & Utilities,Sale,-12.59,
0678,04/22/2025,04/23/2025,CRAIGSLIST.ORG,Merchandise & Inventory,Sale,-5.00,
0678,04/22/2025,04/22/2025,FOREIGN TRANSACTION FEE,Fees & Adjustments,Fee,-0.20,
0678,04/21/2025,04/22/2025,META WAVE SOLUTIONS,Office & Shipping,Sale,-6.75,
0678,04/21/2025,04/22/2025,LOCALRANK.SO,Office & Shipping,Sale,-16.99,
0678,04/21/2025,04/21/2025,Payment Thank You-Mobile,,Payment,500.00,
0678,04/20/2025,04/21/2025,Regus Management Group BC,Professional Services,Sale,-99.00,
0678,04/18/2025,04/20/2025,GOOGLE *Google One,Merchandise & Inventory,Sale,-1.99,
0678,04/18/2025,04/20/2025,Spectrum,Bills & Utilities,Sale,-102.37,
0678,04/16/2025,04/20/2025,SupportPDFfiller.com,Office & Shipping,Return,2.00,
0678,04/18/2025,04/18/2025,FACEBK *8QBPKMCXC2,Professional Services,Sale,-28.00,
0678,04/17/2025,04/18/2025,NAME-CHEAP.COM* FBIMNS,Professional Services,Sale,-11.46,
0678,04/16/2025,04/17/2025,SupportPDFfiller.com,Office & Shipping,Sale,-2.00,
0678,04/15/2025,04/16/2025,LOCALRANK.SO,Office & Shipping,Sale,-13.30,
0678,04/14/2025,04/15/2025,ONLINEJOBSPH,Professional Services,Sale,-69.00,
0678,04/14/2025,04/15/2025,HOSTINGER* HOSTINGER.C,Professional Services,Sale,-13.99,
0678,04/12/2025,04/13/2025,FACEBK *RQS2ZM4YC2,Professional Services,Sale,-25.00,
0678,04/08/2025,04/09/2025,FACEBK *P3F9FMQTB2,Professional Services,Sale,-36.94,
0678,04/07/2025,04/08/2025,FACEBK *MFY7RL4XC2,Professional Services,Sale,-4.51,
0678,04/06/2025,04/07/2025,FACEBK *3SABUL8XC2,Professional Services,Sale,-22.00,
0678,04/05/2025,04/06/2025,CANVA* I04477-51680783,Professional Services,Sale,-15.00,
0678,04/06/2025,04/06/2025,DESCRIPT,Office & Shipping,Sale,-25.58,
0678,04/02/2025,04/03/2025,FACEBK *HEDMJPUXC2,Professional Services,Sale,-2.46,
0678,04/02/2025,04/03/2025,FACEBK *L7M29NLXC2,Professional Services,Sale,-4.84,
0678,04/02/2025,04/03/2025,FACEBK *HADMJPUXC2,Professional Services,Sale,-9.68,
0678,04/02/2025,04/03/2025,FACEBK *QCGWDM4YC2,Professional Services,Sale,-2.42,
0678,04/01/2025,04/02/2025,GOOGLE *ADS9148409960,Professional Services,Sale,-54.79,
0678,04/01/2025,04/02/2025,GOOGLE *ADS8919439674,Professional Services,Sale,-81.40,
0678,04/01/2025,04/02/2025,10WEB.IO,Professional Services,Sale,-136.00,
0678,04/01/2025,04/02/2025,FACEBK *NMCP6MGXC2,Professional Services,Sale,-2.75,
0678,04/01/2025,04/02/2025,GOOGLE *GSUITE_kuriosb,Office & Shipping,Sale,-14.40,
0678,04/01/2025,04/01/2025,Payment Thank You-Mobile,,Payment,600.00,
0678,03/31/2025,04/01/2025,ELEVENLABS.IO,Office & Shipping,Sale,-5.33,
0678,03/30/2025,03/31/2025,AARON ABKE,Merchandise & Inventory,Sale,-99.00,
0678,03/28/2025,03/30/2025,FACEBK *87DVWLGXC2,Professional Services,Sale,-20.00,
0678,03/27/2025,03/28/2025,WI DFI 3SB ONESTOP ANNUAL,Bills & Utilities,Sale,-26.00,
0678,03/10/2025,03/27/2025,ABLETON,Merchandise & Inventory,Sale,-40.08,
0678,03/24/2025,03/25/2025,FACEBK *WNCQPMLXC2,Professional Services,Sale,-18.00,
0678,03/23/2025,03/24/2025,SPOTIFY,Bills & Utilities,Sale,-12.59,
0678,03/21/2025,03/23/2025,Regus Management Group BC,Professional Services,Sale,-99.00,
0678,03/21/2025,03/23/2025,FACEBK *QMBWXKCXC2,Professional Services,Sale,-16.00,
0678,03/20/2025,03/21/2025,FACEBK *LVYVPK4XC2,Professional Services,Sale,-14.00,
0678,03/18/2025,03/19/2025,GOOGLE *Google One,Bills & Utilities,Sale,-1.99,
0678,03/17/2025,03/18/2025,HOSTINGER* HOSTINGER.C,Professional Services,Sale,-6.99,
0678,03/14/2025,03/16/2025,FACEBK *Z6HYYKGTB2,Professional Services,Sale,-35.00,
0678,03/15/2025,03/16/2025,LOCALRANK.SO,Office & Shipping,Sale,-13.30,
0678,03/14/2025,03/16/2025,FACEBK *J4RU4LGXC2,Professional Services,Sale,-8.00,
0678,03/15/2025,03/16/2025,FACEBK *MDCY7MLXC2,Professional Services,Sale,-12.00,
0678,03/13/2025,03/14/2025,FACEBK *A3BF3LGXC2,Professional Services,Sale,-8.00,
0678,03/13/2025,03/14/2025,FACEBK *ZWKV6KQXC2,Professional Services,Sale,-8.00,
0678,03/12/2025,03/13/2025,FACEBK *MCQZCKYXC2,Professional Services,Sale,-5.00,
0678,03/12/2025,03/13/2025,META WAVE SOLUTIONS,Office & Shipping,Sale,-10.50,
0678,03/12/2025,03/13/2025,FACEBK *V42TZKGXC2,Professional Services,Sale,-5.00,
0678,03/11/2025,03/12/2025,FACEBK *QV8C4KQXC2,Professional Services,Sale,-5.00,
